Customer Prompt,Seller Response
Ni true inakam maji hot for long?,"True kabisa, inadumu hadi 8 hrs bila stress."
Hii bottle ni how much?,"True kabisa, inadumu hadi 8 hrs bila stress."
Do your bottles keep drinks hot?,"Yes, we offer engraving and printing services too."
Nataka mug nzuri ya zawadi.,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Mnaweza kuniwekea jina kwa hii mug?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
Mnaweza kuniwekea jina kwa hii thermocup?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
"Aje, uko na thermocup ya form?","Tucheki budget yako, nitakutafutia kitu fiti."
Mnaweza kuniwekea jina kwa hii thermocup?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Hii mug inaweza kuweka maji ya moto?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
What are the prices for your thermocups?,Prices range from 500 to 2000 KES depending on the type.
Do your thermocups keep drinks hot?,"Yes, we offer engraving and printing services too."
Ni true inakam maji hot for long?,"Eeh, tunaeza customize vile unataka."
"I'm looking for a thermocup for my friend, can you help?","Yes, we offer engraving and printing services too."
Uneza chora jina kwa hii thermocup?,"Eeh, tunaeza customize vile unataka."
What are the prices for your bottles?,"Yes, we offer engraving and printing services too."
Mnaweza kuniwekea jina kwa hii bottle?,"Ndio, tuna customize kwa jina au picha."
Can I get a customized bottle?,"Sure, we have many styles. What's your budget?"
What are the prices for your mugs?,"Yes, we offer engraving and printing services too."
Uneza chora jina kwa hii bottle?,"Ni aje, tuko nazo mob! Unataka design gani?"
Do your bottles keep drinks hot?,"Yes, we do! What color or size are you looking for?"
Do your mugs keep drinks hot?,Prices range from 500 to 2000 KES depending on the type.
Hii mug ni how much?,"Eeh, tunaeza customize vile unataka."
Unauza thermocups za aina gani?,"Ndio, tuna customize kwa jina au picha."
Do your mugs keep drinks hot?,"Sure, we have many styles. What's your budget?"
"Natafuta mug ya dope, uneza saidia?","Ni aje, tuko nazo mob! Unataka design gani?"
Nataka thermocup nzuri ya zawadi.,"Ndio, inaweka maji ya moto hadi masaa 8."
What are the prices for your thermocups?,Prices range from 500 to 2000 KES depending on the type.
Uneza chora jina kwa hii mug?,"Tucheki budget yako, nitakutafutia kitu fiti."
Uneza chora jina kwa hii thermocup?,"Ni 800 KES tu, legit stuff."
Ni true inakam maji hot for long?,"Eeh, tunaeza customize vile unataka."
Unauza thermocups za aina gani?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Unauza mugs za aina gani?,"Ndio, tuna customize kwa jina au picha."
Mnaweza kuniwekea jina kwa hii bottle?,"Ndio, tuna customize kwa jina au picha."
"Natafuta thermocup ya dope, uneza saidia?","Eeh, tunaeza customize vile unataka."
Can I get a customized bottle?,"Yes, we offer engraving and printing services too."
Do your thermocups keep drinks hot?,"Yes, we do! What color or size are you looking for?"
Hii mug ni bei gani?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
"Natafuta thermocup ya dope, uneza saidia?","Ni aje, tuko nazo mob! Unataka design gani?"
Nataka thermocup nzuri ya zawadi.,"Ndio, inaweka maji ya moto hadi masaa 8."
Hii mug ni bei gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Uneza chora jina kwa hii mug?,"Ni 800 KES tu, legit stuff."
Uneza chora jina kwa hii mug?,"True kabisa, inadumu hadi 8 hrs bila stress."
"Aje, uko na bottle ya form?","Tucheki budget yako, nitakutafutia kitu fiti."
Hii mug ni how much?,"Tucheki budget yako, nitakutafutia kitu fiti."
Do your mugs keep drinks hot?,"Yes, we do! What color or size are you looking for?"
"Aje, uko na mug ya form?","Eeh, tunaeza customize vile unataka."
Hii bottle ni how much?,"Ni aje, tuko nazo mob! Unataka design gani?"
Hii bottle ni bei gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Mnaweza kuniwekea jina kwa hii thermocup?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Uneza chora jina kwa hii bottle?,"True kabisa, inadumu hadi 8 hrs bila stress."
"I'm looking for a mug for my friend, can you help?","Sure, we have many styles. What's your budget?"
Uneza chora jina kwa hii bottle?,"True kabisa, inadumu hadi 8 hrs bila stress."
Do your mugs keep drinks hot?,"Yes, we offer engraving and printing services too."
Do your bottles keep drinks hot?,Prices range from 500 to 2000 KES depending on the type.
Hii thermocup ni bei gani?,"Ndio, tuna customize kwa jina au picha."
Ni true inakam maji hot for long?,"Tucheki budget yako, nitakutafutia kitu fiti."
Nataka bottle nzuri ya zawadi.,"Ndio, inaweka maji ya moto hadi masaa 8."
Uneza chora jina kwa hii thermocup?,"Ni 800 KES tu, legit stuff."
Unauza thermocups za aina gani?,"Ndio, tuna customize kwa jina au picha."
"I'm looking for a thermocup for my friend, can you help?","Absolutely, they can keep drinks hot for up to 8 hours."
Hii mug inaweza kuweka maji ya moto?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Hii mug ni bei gani?,"Ndio, tuna customize kwa jina au picha."
Can I get a customized thermocup?,"Yes, we do! What color or size are you looking for?"
Uneza chora jina kwa hii mug?,"Ni 800 KES tu, legit stuff."
Hii bottle ni how much?,"Tucheki budget yako, nitakutafutia kitu fiti."
Can I get a customized mug?,Prices range from 500 to 2000 KES depending on the type.
"Natafuta mug ya dope, uneza saidia?","Ni aje, tuko nazo mob! Unataka design gani?"
"Aje, uko na mug ya form?","Ni 800 KES tu, legit stuff."
Can I get a customized thermocup?,Prices range from 500 to 2000 KES depending on the type.
"Hi, do you have any mugs in stock?",Prices range from 500 to 2000 KES depending on the type.
Uneza chora jina kwa hii thermocup?,"Tucheki budget yako, nitakutafutia kitu fiti."
Can I get a customized bottle?,Prices range from 500 to 2000 KES depending on the type.
Hii mug ni how much?,"Tucheki budget yako, nitakutafutia kitu fiti."
Nataka thermocup nzuri ya zawadi.,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Hii bottle ni bei gani?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Uneza chora jina kwa hii bottle?,"True kabisa, inadumu hadi 8 hrs bila stress."
Do your thermocups keep drinks hot?,"Yes, we do! What color or size are you looking for?"
"Aje, uko na thermocup ya form?","Eeh, tunaeza customize vile unataka."
Hii thermocup ni how much?,"True kabisa, inadumu hadi 8 hrs bila stress."
Hii thermocup ni how much?,"Ni aje, tuko nazo mob! Unataka design gani?"
Do your mugs keep drinks hot?,"Yes, we do! What color or size are you looking for?"
Hii mug ni how much?,"True kabisa, inadumu hadi 8 hrs bila stress."
"Aje, uko na bottle ya form?","Eeh, tunaeza customize vile unataka."
Mnaweza kuniwekea jina kwa hii mug?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
"Hi, do you have any bottles in stock?",Prices range from 500 to 2000 KES depending on the type.
"Hi, do you have any thermocups in stock?","Sure, we have many styles. What's your budget?"
Do your mugs keep drinks hot?,"Absolutely, they can keep drinks hot for up to 8 hours."
Ni true inakam maji hot for long?,"Eeh, tunaeza customize vile unataka."
"Natafuta mug ya dope, uneza saidia?","Eeh, tunaeza customize vile unataka."
Do your mugs keep drinks hot?,"Yes, we offer engraving and printing services too."
Hii thermocup ni bei gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Mnaweza kuniwekea jina kwa hii bottle?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
What are the prices for your thermocups?,"Yes, we offer engraving and printing services too."
Hii mug ni bei gani?,"Ndio, tuna customize kwa jina au picha."
"Hi, do you have any thermocups in stock?","Absolutely, they can keep drinks hot for up to 8 hours."
"Natafuta bottle ya dope, uneza saidia?","True kabisa, inadumu hadi 8 hrs bila stress."
What are the prices for your bottles?,"Sure, we have many styles. What's your budget?"
"Natafuta bottle ya dope, uneza saidia?","Ni aje, tuko nazo mob! Unataka design gani?"
Can I get a customized mug?,"Sure, we have many styles. What's your budget?"
Unauza bottles za aina gani?,"Ndio, inaweka maji ya moto hadi masaa 8."
Unauza bottles za aina gani?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Unauza mugs za aina gani?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
"I'm looking for a mug for my friend, can you help?","Yes, we do! What color or size are you looking for?"
Can I get a customized thermocup?,Prices range from 500 to 2000 KES depending on the type.
What are the prices for your bottles?,"Yes, we do! What color or size are you looking for?"
Uneza chora jina kwa hii bottle?,"True kabisa, inadumu hadi 8 hrs bila stress."
"Aje, uko na bottle ya form?","Eeh, tunaeza customize vile unataka."
Hii thermocup inaweza kuweka maji ya moto?,"Ndio, inaweka maji ya moto hadi masaa 8."
Hii bottle inaweza kuweka maji ya moto?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Can I get a customized mug?,Prices range from 500 to 2000 KES depending on the type.
"Aje, uko na thermocup ya form?","Ni aje, tuko nazo mob! Unataka design gani?"
Mnaweza kuniwekea jina kwa hii thermocup?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
Uneza chora jina kwa hii thermocup?,"Ni aje, tuko nazo mob! Unataka design gani?"
Hii bottle inaweza kuweka maji ya moto?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
What are the prices for your bottles?,"Yes, we offer engraving and printing services too."
Ni true inakam maji hot for long?,"Ni 800 KES tu, legit stuff."
Ni true inakam maji hot for long?,"Ni 800 KES tu, legit stuff."
Ni true inakam maji hot for long?,"Eeh, tunaeza customize vile unataka."
"Aje, uko na bottle ya form?","True kabisa, inadumu hadi 8 hrs bila stress."
Do your mugs keep drinks hot?,"Absolutely, they can keep drinks hot for up to 8 hours."
Nataka bottle nzuri ya zawadi.,"Ndio, tuna customize kwa jina au picha."
Hii thermocup ni bei gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Nataka thermocup nzuri ya zawadi.,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Uneza chora jina kwa hii bottle?,"Ni aje, tuko nazo mob! Unataka design gani?"
"Hi, do you have any bottles in stock?","Absolutely, they can keep drinks hot for up to 8 hours."
Hii bottle ni how much?,"Tucheki budget yako, nitakutafutia kitu fiti."
Can I get a customized mug?,"Yes, we offer engraving and printing services too."
Hii mug ni bei gani?,"Ndio, tuna customize kwa jina au picha."
Uneza chora jina kwa hii thermocup?,"Ni aje, tuko nazo mob! Unataka design gani?"
Hii thermocup ni how much?,"Ni 800 KES tu, legit stuff."
Ni true inakam maji hot for long?,"Tucheki budget yako, nitakutafutia kitu fiti."
Uneza chora jina kwa hii bottle?,"Tucheki budget yako, nitakutafutia kitu fiti."
Hii bottle inaweza kuweka maji ya moto?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Hii bottle inaweza kuweka maji ya moto?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Ni true inakam maji hot for long?,"True kabisa, inadumu hadi 8 hrs bila stress."
Ni true inakam maji hot for long?,"Ni aje, tuko nazo mob! Unataka design gani?"
Hii mug ni how much?,"Ni aje, tuko nazo mob! Unataka design gani?"
Nataka bottle nzuri ya zawadi.,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
"I'm looking for a thermocup for my friend, can you help?","Sure, we have many styles. What's your budget?"
Uneza chora jina kwa hii mug?,"Ni aje, tuko nazo mob! Unataka design gani?"
"Aje, uko na bottle ya form?","Ni aje, tuko nazo mob! Unataka design gani?"
"Natafuta mug ya dope, uneza saidia?","Eeh, tunaeza customize vile unataka."
Nataka thermocup nzuri ya zawadi.,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Nataka thermocup nzuri ya zawadi.,"Ndio, inaweka maji ya moto hadi masaa 8."
"Hi, do you have any mugs in stock?","Sure, we have many styles. What's your budget?"
"Aje, uko na bottle ya form?","Ni aje, tuko nazo mob! Unataka design gani?"
Mnaweza kuniwekea jina kwa hii thermocup?,"Ndio, tuna customize kwa jina au picha."
Mnaweza kuniwekea jina kwa hii mug?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
"Aje, uko na bottle ya form?","Ni 800 KES tu, legit stuff."
What are the prices for your thermocups?,"Yes, we offer engraving and printing services too."
Hii thermocup ni how much?,"Ni aje, tuko nazo mob! Unataka design gani?"
Hii bottle inaweza kuweka maji ya moto?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
What are the prices for your bottles?,"Sure, we have many styles. What's your budget?"
Nataka bottle nzuri ya zawadi.,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Do your bottles keep drinks hot?,"Absolutely, they can keep drinks hot for up to 8 hours."
Do your bottles keep drinks hot?,"Yes, we offer engraving and printing services too."
Can I get a customized mug?,"Yes, we offer engraving and printing services too."
Hii mug ni bei gani?,"Ndio, tuna customize kwa jina au picha."
Do your mugs keep drinks hot?,"Yes, we do! What color or size are you looking for?"
What are the prices for your thermocups?,"Yes, we offer engraving and printing services too."
Uneza chora jina kwa hii thermocup?,"Eeh, tunaeza customize vile unataka."
Do your thermocups keep drinks hot?,"Yes, we do! What color or size are you looking for?"
Can I get a customized thermocup?,"Absolutely, they can keep drinks hot for up to 8 hours."
Hii mug ni bei gani?,"Ndio, tuna customize kwa jina au picha."
Do your bottles keep drinks hot?,"Yes, we offer engraving and printing services too."
"Aje, uko na thermocup ya form?","Eeh, tunaeza customize vile unataka."
Hii thermocup ni how much?,"Tucheki budget yako, nitakutafutia kitu fiti."
"Hi, do you have any thermocups in stock?","Yes, we offer engraving and printing services too."
Can I get a customized mug?,"Yes, we offer engraving and printing services too."
Nataka bottle nzuri ya zawadi.,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
"I'm looking for a bottle for my friend, can you help?",Prices range from 500 to 2000 KES depending on the type.
Can I get a customized bottle?,"Sure, we have many styles. What's your budget?"
"I'm looking for a mug for my friend, can you help?","Absolutely, they can keep drinks hot for up to 8 hours."
Ni true inakam maji hot for long?,"Eeh, tunaeza customize vile unataka."
Ni true inakam maji hot for long?,"Ni 800 KES tu, legit stuff."
Unauza mugs za aina gani?,"Ndio, tuna customize kwa jina au picha."
Mnaweza kuniwekea jina kwa hii bottle?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
"Aje, uko na thermocup ya form?","Ni 800 KES tu, legit stuff."
What are the prices for your mugs?,"Absolutely, they can keep drinks hot for up to 8 hours."
"Hi, do you have any thermocups in stock?",Prices range from 500 to 2000 KES depending on the type.
"Hi, do you have any thermocups in stock?","Yes, we offer engraving and printing services too."
Uneza chora jina kwa hii mug?,"Eeh, tunaeza customize vile unataka."
"Aje, uko na mug ya form?","Eeh, tunaeza customize vile unataka."
"Natafuta mug ya dope, uneza saidia?","Ni 800 KES tu, legit stuff."
Hii mug inaweza kuweka maji ya moto?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Hii bottle ni bei gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Can I get a customized mug?,"Sure, we have many styles. What's your budget?"
Do your bottles keep drinks hot?,"Absolutely, they can keep drinks hot for up to 8 hours."
Ni true inakam maji hot for long?,"Tucheki budget yako, nitakutafutia kitu fiti."
Nataka thermocup nzuri ya zawadi.,"Ndio, tuna customize kwa jina au picha."
Hii thermocup inaweza kuweka maji ya moto?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
Hii mug ni how much?,"Ni aje, tuko nazo mob! Unataka design gani?"
Can I get a customized thermocup?,"Absolutely, they can keep drinks hot for up to 8 hours."
Hii thermocup inaweza kuweka maji ya moto?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Can I get a customized thermocup?,"Sure, we have many styles. What's your budget?"
Mnaweza kuniwekea jina kwa hii thermocup?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
"Aje, uko na mug ya form?","Ni 800 KES tu, legit stuff."
Nataka mug nzuri ya zawadi.,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Ni true inakam maji hot for long?,"Ni aje, tuko nazo mob! Unataka design gani?"
Uneza chora jina kwa hii mug?,"True kabisa, inadumu hadi 8 hrs bila stress."
What are the prices for your thermocups?,Prices range from 500 to 2000 KES depending on the type.
What are the prices for your bottles?,"Absolutely, they can keep drinks hot for up to 8 hours."
"I'm looking for a bottle for my friend, can you help?","Sure, we have many styles. What's your budget?"
Hii bottle ni bei gani?,"Ndio, inaweka maji ya moto hadi masaa 8."
Ni true inakam maji hot for long?,"Ni aje, tuko nazo mob! Unataka design gani?"
Hii mug inaweza kuweka maji ya moto?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Unauza mugs za aina gani?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
Ni true inakam maji hot for long?,"Tucheki budget yako, nitakutafutia kitu fiti."
Hii mug ni bei gani?,"Ndio, tuna customize kwa jina au picha."
"Natafuta thermocup ya dope, uneza saidia?","Eeh, tunaeza customize vile unataka."
Mnaweza kuniwekea jina kwa hii mug?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
What are the prices for your mugs?,"Absolutely, they can keep drinks hot for up to 8 hours."
Hii bottle inaweza kuweka maji ya moto?,"Ndio, tuna customize kwa jina au picha."
Mnaweza kuniwekea jina kwa hii thermocup?,"Ndio, inaweka maji ya moto hadi masaa 8."
Unauza mugs za aina gani?,"Tuko na aina tofauti tofauti, unataka ya plastiki au chuma?"
What are the prices for your mugs?,"Yes, we do! What color or size are you looking for?"
Nataka mug nzuri ya zawadi.,"Ndio, inaweka maji ya moto hadi masaa 8."
Ni true inakam maji hot for long?,"Ni aje, tuko nazo mob! Unataka design gani?"
"I'm looking for a thermocup for my friend, can you help?",Prices range from 500 to 2000 KES depending on the type.
"Natafuta thermocup ya dope, uneza saidia?","Eeh, tunaeza customize vile unataka."
Do your bottles keep drinks hot?,Prices range from 500 to 2000 KES depending on the type.
Hii bottle ni bei gani?,"Ndio, tuna customize kwa jina au picha."
Unauza mugs za aina gani?,"Ndio, tuna customize kwa jina au picha."
Unauza bottles za aina gani?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
What are the prices for your thermocups?,"Sure, we have many styles. What's your budget?"
What are the prices for your bottles?,"Absolutely, they can keep drinks hot for up to 8 hours."
Do your mugs keep drinks hot?,"Absolutely, they can keep drinks hot for up to 8 hours."
"Hi, do you have any mugs in stock?","Yes, we do! What color or size are you looking for?"
"I'm looking for a thermocup for my friend, can you help?","Yes, we offer engraving and printing services too."
Ni true inakam maji hot for long?,"Eeh, tunaeza customize vile unataka."
Unauza bottles za aina gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
"I'm looking for a bottle for my friend, can you help?","Absolutely, they can keep drinks hot for up to 8 hours."
Uneza chora jina kwa hii mug?,"Ni aje, tuko nazo mob! Unataka design gani?"
Hii bottle inaweza kuweka maji ya moto?,"Ndio, inaweka maji ya moto hadi masaa 8."
Ni true inakam maji hot for long?,"True kabisa, inadumu hadi 8 hrs bila stress."
"Natafuta bottle ya dope, uneza saidia?","Ni 800 KES tu, legit stuff."
Can I get a customized thermocup?,Prices range from 500 to 2000 KES depending on the type.
Uneza chora jina kwa hii bottle?,"Tucheki budget yako, nitakutafutia kitu fiti."
"Aje, uko na mug ya form?","True kabisa, inadumu hadi 8 hrs bila stress."
Can I get a customized thermocup?,"Yes, we offer engraving and printing services too."
Ni true inakam maji hot for long?,"Ni aje, tuko nazo mob! Unataka design gani?"
Hii thermocup ni bei gani?,"Ndio, tuna customize kwa jina au picha."
Hii thermocup ni bei gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Unauza bottles za aina gani?,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
Hii mug ni how much?,"Tucheki budget yako, nitakutafutia kitu fiti."
Hii bottle inaweza kuweka maji ya moto?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
Do your mugs keep drinks hot?,"Absolutely, they can keep drinks hot for up to 8 hours."
"I'm looking for a mug for my friend, can you help?","Yes, we do! What color or size are you looking for?"
Hii mug ni bei gani?,"Tuna bidhaa nzuri sana kwa zawadi, njoo uangalie."
"I'm looking for a bottle for my friend, can you help?","Yes, we do! What color or size are you looking for?"
Hii thermocup inaweza kuweka maji ya moto?,"Ndio, tuna customize kwa jina au picha."
Nataka mug nzuri ya zawadi.,Bei inaanzia 500 hadi 2000 KES kulingana na aina.
